# metric_direction: higher_is_better (social module LOC)
# goal: Build engaging social community — local cache, polls, group chats, infinite scroll
iteration	commit	metric	delta	guard	status	description
16	-	7824	+19	pass	keep	Join button for non-member public groups in Groups tab, disabled tap for non-members
17	-	7838	+14	pass	keep	Poll share button: share question+options text via share_plus
18	-	7865	+27	pass	keep	Group description in list tiles, improved chat empty state with icon + subtitle
19	-	7915	+50	pass	keep	Local-first poll caching: SharedPreferences → instant render → background sync, same pattern as feed
20	-	8046	+181	pass	keep	GroupsNotifier with local-first cache, migrated all group screens to StateNotifier. All 3 tabs now cache-first
21	4a12438	8529	+483	pass	keep	Report/block: ReportReason enum, BlockedUser model, 3-step report sheet (options→reason→details), block confirmation dialog, hide post, wired to feed card "..." menu
22	3168c9e	8646	+117	pass	keep	Poll search & filter: search bar filters by question/creator, FilterChips for All/Active/Ended/Voted, empty state messages adapt to search context
23	7e68065	8748	+102	pass	keep	Group search & filter: search bar filters by name/description, FilterChips for All/Joined/Public, converted to StatefulWidget
24	d55fe82	8918	+170	pass	keep	Typing indicator: bouncing 3-dot animation, setTyping() API method, TypingUser model, StreamProvider with 3s polling, wired into chat room above input bar
25	5e49a1b	9125	+207	pass	keep	Pinned messages: pin/unpin toggle (optimistic), pinned banner with sender+text+count, admin long-press menu (pin+copy), pin icon on messages, tinted bubble background
26	3ba97b9	9263	+138	pass	keep	Trending stats: 3-card summary in Discover tab (active polls+votes, my groups, feed post count), _TrendCard widget with icon+value+subtitle
27	11d2fec	9428	+165	pass	keep	Chat message reactions: MessageReaction model, 6 quick emoji picker in long-press menu, optimistic reactToMessage, reaction pills below bubbles with user-reacted highlight
28	d2429f3	9648	+220	pass	keep	Community guidelines: 7 illustrated rules (kind, accurate, privacy, no hate, no diet shame, no spam, report), header card, violation warning, shield icon in social hub bar
29	aa8ff72	9718	+70	pass	keep	Read receipts: ReadReceipt model, double-check mark icon, "Read by N" in long-press menu with names, markAsRead() on chat enter
30	a9d5ab5	9892	+174	pass	keep	Blocked users screen: list with avatars+blocked-ago, unblock confirmation dialog, empty state, error retry
31	4563190	10057	+165	pass	keep	@Mentions: autocomplete overlay from members list, insert on tap, highlighted mentions in message bubbles with RegExp
32	0cce5c3	10115	+58	pass	keep	Mute group notifications: toggle in popup menu, muted icon in group list, snackbar confirmation
33	cc739f6	10292	+177	pass	keep	Edit group: admin edit name/description bottom sheet, mute toggle refinement, muted indicator
34	2956f75	10825	+533	pass	keep	Poll comments: PollComment model, discussion thread bottom sheet, comment count in poll footer, API endpoint + provider
35	59acf98	10991	+166	pass	keep	Image sharing in chat: photo picker (gallery), image preview strip, image display in bubbles with CachedNetworkImage, fullscreen viewer with InteractiveViewer, multipart upload
36	659eaa7	11337	+346	pass	keep	Profile badges: Badge model (4 tiers), BadgeCatalog (12 defs), BadgeShowcaseRow/BadgeCard/BadgeGrid widgets, badges provider, enriched profile badge grid with tap-to-detail dialog
37	72961b4	11450	+113	pass	keep	Group notification preferences: GroupNotifPref enum (all/mentions_only/muted), picker bottom sheet in chat room popup menu, setGroupNotifPref API call
38	7f5b3c6	11621	+171	pass	keep	Enhanced notifications: day grouping (Today/Yesterday/weekday), filter chips (All/Unread/Social/Polls/Groups), swipe-to-mark-read Dismissible, 7 new notification types
39	1d316cb	11778	+157	pass	keep	User search in Discover: search bar with API query, search results with avatar/level/name, tap to profile, People filter chip
40	2db5eae	12538	+760	pass	keep	Direct messages: DmConversation+DmMessage models, inbox screen with unread counts, chat room with bubbles+timestamps+read receipts, DmChatNotifier with 4s polling, Message button on connected profiles
